CustomerKey,CustomerSegment,AgeGroup
1,Consumer,18-24
2,Consumer,25-34
3,Enterprise,35-44
4,Consumer,55+
5,Consumer,45-54
6,Enterprise,45-54
7,Consumer,35-44
8,Consumer,18-24
9,Consumer,25-34
10,Consumer,55+
11,Consumer,18-24
12,Enterprise,55+
13,Consumer,45-54
14,Enterprise,25-34
15,Consumer,45-54
16,Consumer,55+
17,Consumer,18-24
18,Consumer,18-24
19,Enterprise,45-54
20,Consumer,55+
21,Consumer,18-24
22,Consumer,45-54
23,Enterprise,18-24
24,Enterprise,45-54
25,Consumer,45-54
26,Consumer,18-24
27,Consumer,45-54
28,Consumer,55+
29,Consumer,55+
30,Consumer,18-24
31,Consumer,25-34
32,Enterprise,25-34
33,Consumer,35-44
34,Consumer,18-24
35,Consumer,55+
36,Consumer,45-54
37,Consumer,55+
38,Consumer,18-24
39,Consumer,18-24
40,Consumer,55+
41,Consumer,25-34
42,Enterprise,45-54
43,Consumer,55+
44,Consumer,18-24
45,Enterprise,18-24
46,Enterprise,18-24
47,Consumer,18-24
48,Consumer,18-24
49,Consumer,55+
50,Consumer,45-54
51,Consumer,55+
52,Consumer,55+
53,Consumer,55+
54,Consumer,25-34
55,Consumer,25-34
56,Consumer,55+
57,Consumer,25-34
58,Consumer,18-24
59,Consumer,45-54
60,Consumer,55+
61,Consumer,55+
62,Consumer,55+
63,Consumer,18-24
64,Consumer,45-54
65,Consumer,55+
66,Consumer,45-54
67,Consumer,55+
68,Consumer,55+
69,Consumer,35-44
70,Consumer,18-24
71,Consumer,35-44
72,Consumer,25-34
73,Enterprise,18-24
74,Consumer,18-24
75,Consumer,45-54
76,Consumer,35-44
77,Consumer,35-44
78,Consumer,45-54
79,Consumer,35-44
80,Consumer,45-54
81,Consumer,18-24
82,Consumer,55+
83,Enterprise,35-44
84,Consumer,18-24
85,Consumer,55+
86,Consumer,45-54
87,Consumer,18-24
88,Consumer,18-24
89,Consumer,18-24
90,Consumer,25-34
91,Consumer,18-24
92,Consumer,45-54
93,Consumer,35-44
94,Consumer,55+
95,Consumer,45-54
96,Consumer,45-54
97,Consumer,35-44
98,Consumer,18-24
99,Consumer,18-24
100,Enterprise,45-54
101,Enterprise,18-24
102,Consumer,18-24
103,Consumer,25-34
104,Enterprise,55+
105,Consumer,35-44
106,Consumer,45-54
107,Consumer,35-44
108,Consumer,18-24
109,Consumer,25-34
110,Enterprise,18-24
111,Consumer,45-54
112,Consumer,18-24
113,Consumer,25-34
114,Consumer,55+
115,Consumer,35-44
116,Enterprise,35-44
117,Consumer,35-44
118,Consumer,45-54
119,Consumer,25-34
120,Consumer,45-54
121,Consumer,55+
122,Consumer,35-44
123,Consumer,35-44
124,Consumer,18-24
125,Consumer,25-34
126,Consumer,55+
127,Consumer,35-44
128,Consumer,25-34
129,Consumer,35-44
130,Consumer,35-44
131,Consumer,35-44
132,Enterprise,45-54
133,Consumer,25-34
134,Consumer,45-54
135,Consumer,35-44
136,Consumer,55+
137,Enterprise,18-24
138,Consumer,18-24
139,Consumer,35-44
140,Consumer,35-44
141,Consumer,45-54
142,Consumer,35-44
143,Enterprise,55+
144,Consumer,35-44
145,Consumer,18-24
146,Consumer,18-24
147,Consumer,55+
148,Consumer,18-24
149,Consumer,55+
150,Consumer,25-34
151,Enterprise,18-24
152,Enterprise,25-34
153,Consumer,45-54
154,Consumer,35-44
155,Consumer,45-54
156,Consumer,45-54
157,Consumer,35-44
158,Consumer,45-54
159,Consumer,55+
160,Consumer,35-44
161,Consumer,18-24
162,Enterprise,35-44
163,Consumer,55+
164,Consumer,25-34
165,Consumer,55+
166,Consumer,35-44
