OrderID,Date,ProductKey,StoreKey,CustomerKey,Quantity,UnitPrice,Discount,SalesAmount,UnitCost,ProfitAmount
100001,2025-05-13,14,2,93,1,49,0.0,49.0,18,31.0
100002,2026-01-23,11,6,63,1,129,0.0,129.0,45,84.0
100002,2026-01-23,12,6,63,1,279,0.0,279.0,140,139.0
100003,2026-06-04,9,1,61,1,79,13.36,65.64,25,40.64
100004,2025-12-19,14,2,297,1,49,0.0,49.0,18,31.0
100004,2025-12-19,8,2,297,1,349,42.64,306.36,150,156.36
100005,2026-07-29,15,8,393,1,35,0.0,35.0,12,23.0
100005,2026-07-29,20,8,393,1,179,29.4,149.6,70,79.6
100006,2026-02-13,6,7,317,1,249,0.0,249.0,120,129.0
100006,2026-02-13,17,7,317,1,89,0.0,89.0,30,59.0
100007,2026-05-04,11,5,12,1,129,0.0,129.0,45,84.0
100008,2024-05-14,4,9,121,2,399,0.0,798.0,420,378.0
100008,2024-05-14,11,9,121,1,129,30.47,98.53,45,53.53
100009,2025-12-27,16,4,144,1,39,0.0,39.0,15,24.0
100010,2025-04-06,20,8,107,3,179,0.0,537.0,210,327.0
100011,2025-07-30,19,3,91,1,99,0.0,99.0,35,64.0
100011,2025-07-30,11,3,91,1,129,0.0,129.0,45,84.0
100012,2025-11-03,8,4,47,1,349,0.0,349.0,150,199.0
100012,2025-11-03,11,4,47,1,129,6.59,122.41,45,77.41
100013,2026-08-04,1,10,199,1,999,0.0,999.0,620,379.0
100013,2026-08-04,2,10,199,1,799,127.79,671.21,480,191.21
100014,2026-08-18,9,5,99,1,79,0.0,79.0,25,54.0
100015,2024-11-12,20,1,87,1,179,13.5,165.5,70,95.5
100016,2025-12-28,16,10,280,2,39,0.0,78.0,30,48.0
100016,2025-12-28,9,10,280,2,79,0.0,158.0,50,108.0
100017,2026-01-12,6,6,96,1,249,0.0,249.0,120,129.0
100018,2024-12-25,20,8,340,1,179,0.0,179.0,70,109.0
100019,2024-05-24,5,9,26,1,349,0.0,349.0,180,169.0
100020,2024-02-21,8,3,74,1,349,58.61,290.39,150,140.39
100020,2024-02-21,16,3,74,1,39,0.0,39.0,15,24.0
100021,2026-02-08,11,7,116,1,129,0.0,129.0,45,84.0
100022,2025-05-25,16,9,16,1,39,0.0,39.0,15,24.0
100023,2026-08-19,19,2,96,1,99,16.91,82.09,35,47.09
100023,2026-08-19,20,2,96,1,179,0.0,179.0,70,109.0
100024,2025-05-01,5,1,295,2,349,137.74,560.26,360,200.26
100025,2026-08-12,11,5,24,1,129,0.0,129.0,45,84.0
100026,2025-03-07,8,1,349,1,349,0.0,349.0,150,199.0
100027,2026-02-26,3,9,76,1,649,0.0,649.0,350,299.0
100028,2024-04-12,4,9,163,1,399,0.0,399.0,210,189.0
100029,2025-08-02,13,6,21,1,199,0.0,199.0,95,104.0
100030,2026-03-06,5,10,248,1,349,20.59,328.41,180,148.41
100031,2026-06-23,1,7,322,1,999,130.6,868.4,620,248.4
100032,2026-03-25,14,7,71,1,49,0.0,49.0,18,31.0
